"","word","freq"
"one of the","one of the",657
"a lot of","a lot of",579
"to be a","to be a",308
"the end of","the end of",303
"going to be","going to be",297
"out of the","out of the",294
"as well as","as well as",288
"some of the","some of the",275
"be able to","be able to",245
"it was a","it was a",237
"part of the","part of the",228
"thanks for the","thanks for the",221
"i want to","i want to",212
"i have a","i have a",201
"the rest of","the rest of",197
"the fact that","the fact that",196
"this is a","this is a",194
"end of the","end of the",187
"at the end","at the end",184
"a couple of","a couple of",182
"i have to","i have to",167
"is going to","is going to",166
"the first time","the first time",166
"in the first","in the first",162
"most of the","most of the",159
"according to the","according to the",153
"one of my","one of my",152
"is one of","is one of",151
"it would be","it would be",151
"you have to","you have to",149
"there is no","there is no",146
"to have a","to have a",146
"all of the","all of the",145
"it is a","it is a",145
"there is a","there is a",144
"in order to","in order to",142
"of the year","of the year",141
"you want to","you want to",140
"i have been","i have been",139
"to make a","to make a",139
"in front of","in front of",133
"this is the","this is the",133
"for the first","for the first",128
"i need to","i need to",126
"rest of the","rest of the",126
"the united states","the united states",125
"i wanted to","i wanted to",124
"looking forward to","looking forward to",124
"to be the","to be the",124
"as much as","as much as",122
"to do with","to do with",120
"of the most","of the most",119
"thank you for","thank you for",119
"back to the","back to the",118
"i had to","i had to",118
"would like to","would like to",118
"i don't know","i don't know",117
"a bit of","a bit of",113
"are going to","are going to",113
"if you are","if you are",113
"it will be","it will be",111
"in the world","in the world",110
"there was a","there was a",110
"i think i","i think i",109
"in the past","in the past",109
"at the same","at the same",107
"want to be","want to be",105
"at the time","at the time",104
"if you have","if you have",104
"to go to","to go to",104
"was going to","was going to",104
"i had a","i had a",103
"i'm going to","i'm going to",101
"the same time","the same time",101
"when i was","when i was",101
"a little bit","a little bit",99
"have to be","have to be",99
"of the day","of the day",98
"if you want","if you want",97
"in the middle","in the middle",96
"to see the","to see the",96
"and i was","and i was",94
"i will be","i will be",93
"will be a","will be a",93
"it was the","it was the",92
"more than a","more than a",92
"that i am","that i am",92
"you have a","you have a",92
"one of those","one of those",90
"can't wait to","can't wait to",89
"to take a","to take a",89
"a number of","a number of",88
"the number of","the number of",88
"and it was","and it was",87
"the university of","the university of",87
"to be in","to be in",87
"as long as","as long as",85
"i am not","i am not",85
"it is the","it is the",85
"of the best","of the best",85
"because of the","because of the",84
"go to the","go to the",84
"on the other","on the other",84
"to get a","to get a",84
"you need to","you need to",84
"as part of","as part of",83
"side of the","side of the",83
"to make the","to make the",83
"and i have","and i have",82
"i love you","i love you",82
"in the same","in the same",82
"to make it","to make it",82
"was able to","was able to",82
"when it comes","when it comes",82
"for a while","for a while",81
"has been a","has been a",81
"i decided to","i decided to",81
"in the us","in the us",81
"we need to","we need to",81
"i don't think","i don't think",80
"it comes to","it comes to",80
"up to the","up to the",80
"would have been","would have been",80
"to do it","to do it",79
"was one of","was one of",79
"would be a","would be a",79
"percent of the","percent of the",78
"the middle of","the middle of",78
"to get the","to get the",78
"we have a","we have a",78
"we have to","we have to",78
"away from the","away from the",77
"in addition to","in addition to",77
"all the time","all the time",76
"as soon as","as soon as",76
"up in the","up in the",76
"a long time","a long time",75
"and i am","and i am",75
"for the next","for the next",75
"of the world","of the world",75
"the top of","the top of",75
"will be the","will be the",75
"but it is","but it is",74
"don't want to","don't want to",74
"need to be","need to be",74
"the new york","the new york",74
"a chance to","a chance to",73
"the back of","the back of",73
"to make sure","to make sure",73
"to say that","to say that",73
"what do you","what do you",73
"a few days","a few days",72
"i love the","i love the",72
"look at the","look at the",72
"of the season","of the season",72
"said in a","said in a",72
"i feel like","i feel like",71
"in the second","in the second",71
"that it is","that it is",71
"a series of","a series of",70
"a way to","a way to",70
"in the last","in the last",70
"that it was","that it was",70
"the bottom of","the bottom of",70
"this is not","this is not",70
"for a few","for a few",69
"in terms of","in terms of",69
"not going to","not going to",69
"that i have","that i have",69
"there will be","there will be",69
"do you think","do you think",68
"i have no","i have no",68
"i would have","i would have",68
"in new york","in new york",68
"is not a","is not a",68
"there was no","there was no",68
"to be able","to be able",68
"to do the","to do the",68
"top of the","top of the",68
"a member of","a member of",67
"at this point","at this point",67
"but it was","but it was",67
"if you don't","if you don't",67
"in my life","in my life",67
"member of the","member of the",67
"supposed to be","supposed to be",67
"that he was","that he was",67
"that would be","that would be",67
"the opportunity to","the opportunity to",67
"will have to","will have to",67
"a part of","a part of",66
"for the follow","for the follow",66
"i am a","i am a",66
"it has been","it has been",66
"that i was","that i was",66
"for me to","for me to",65
"i think the","i think the",65
"i went to","i went to",65
"of the new","of the new",65
"but i think","but i think",64
"he said he","he said he",64
"how do you","how do you",64
"it is not","it is not",64
"the idea of","the idea of",64
"to see what","to see what",64
"to try to","to try to",64
"a few years","a few years",63
"go back to","go back to",63
"have a great","have a great",63
"he was a","he was a",63
"i think it","i think it",63
"i was a","i was a",63
"of all the","of all the",63
"part of a","part of a",63
"a group of","a group of",62
"a variety of","a variety of",62
"i was in","i was in",62
"in the morning","in the morning",62
"needs to be","needs to be",62
"over the past","over the past",62
"let me know","let me know",61
"many of the","many of the",61
"and of course","and of course",60
"has to be","has to be",60
"i know that","i know that",60
"much of the","much of the",60
"to deal with","to deal with",60
"and i think","and i think",59
"as a result","as a result",59
"as far as","as far as",59
"be sure to","be sure to",59
"i would like","i would like",59
"in the city","in the city",59
"to look at","to look at",59
"you can see","you can see",59
"i am so","i am so",58
"i wish i","i wish i",58
"look forward to","look forward to",58
"to find a","to find a",58
"to find out","to find out",58
"do you have","do you have",57
"for a long","for a long",57
"of the first","of the first",57
"we had a","we had a",57
"based on the","based on the",56
"i think that","i think that",56
"is a good","is a good",56
"is in the","is in the",56
"seems to be","seems to be",56
"to work with","to work with",56
"was the first","was the first",56
"what to do","what to do",56
"a bunch of","a bunch of",55
"and in the","and in the",55
"have to do","have to do",55
"is the best","is the best",55
"of the time","of the time",55
"one of them","one of them",55
"there are a","there are a",55
"to keep the","to keep the",55
"to see if","to see if",55
"at a time","at a time",54
"been able to","been able to",54
"i can't wait","i can't wait",54
"looking for a","looking for a",54
"members of the","members of the",54
"need to get","need to get",54
"no matter what","no matter what",54
"president of the","president of the",54
"the beginning of","the beginning of",54
"director of the","director of the",53
"get out of","get out of",53
"in the country","in the country",53
"on top of","on top of",53
"or at least","or at least",53
"we want to","we want to",53
"according to a","according to a",52
"be in the","be in the",52
"is expected to","is expected to",52
"of my favorite","of my favorite",52
"so i can","so i can",52
"the cost of","the cost of",52
"up with the","up with the",52
"by the time","by the time",51
"going to get","going to get",51
"it to the","it to the",51
"of my life","of my life",51
"to get to","to get to",51
"and if you","and if you",50
"and that is","and that is",50
"had a great","had a great",50
"i hope you","i hope you",50
"know how to","know how to",50
"of the house","of the house",50
"that we are","that we are",50
"a piece of","a piece of",49
"and it is","and it is",49
"bottom of the","bottom of the",49
"due to the","due to the",49
"for us to","for us to",49
"he said the","he said the",49
"i don't want","i don't want",49
"in love with","in love with",49
"in the united","in the united",49
"said he was","said he was",49
"the last time","the last time",49
"the next day","the next day",49
"to do so","to do so",49
"want to do","want to do",49
"a few weeks","a few weeks",48
"around the world","around the world",48
"at the top","at the top",48
"for the rt","for the rt",48
"in a statement","in a statement",48
"it in the","it in the",48
"middle of the","middle of the",48
"over the last","over the last",48
"said it was","said it was",48
"that there is","that there is",48
"the name of","the name of",48
"the same thing","the same thing",48
"when he was","when he was",48
"you can get","you can get",48
"be a good","be a good",47
"i got a","i got a",47
"in the air","in the air",47
"in the case","in the case",47
"in the end","in the end",47
"is a great","is a great",47
"is on the","is on the",47
"over the years","over the years",47
"that you are","that you are",47
"the ability to","the ability to",47
"to see how","to see how",47
"to talk to","to talk to",47
"to tell you","to tell you",47
"was a little","was a little",47
"was in the","was in the",47
"are in the","are in the",46
"at the moment","at the moment",46
"being able to","being able to",46
"didn't want to","didn't want to",46
"for the last","for the last",46
"going to have","going to have",46
