"","word","freq"
"the","the",88139
"and","and",45410
"that","that",19105
"for","for",18370
"you","you",13055
"with","with",12872
"was","was",11624
"this","this",9473
"have","have",9128
"but","but",8674
"are","are",8630
"from","from",6998
"not","not",6938
"said","said",5995
"they","they",5955
"his","his",5773
"will","will",5517
"all","all",5507
"about","about",5226
"one","one",5131
"has","has",4936
"out","out",4705
"when","when",4590
"just","just",4568
"who","who",4533
"what","what",4471
"had","had",4328
"more","more",4315
"your","your",4257
"can","can",4215
"like","like",4127
"her","her",4013
"their","their",3925
"she","she",3908
"there","there",3714
"would","would",3640
"some","some",3582
"time","time",3512
"were","were",3506
"been","been",3435
"get","get",3333
"new","new",3200
"our","our",3189
"them","them",2926
"which","which",2877
"how","how",2836
"now","now",2739
"people","people",2682
"it's","it's",2680
"into","into",2621
"also","also",2561
"good","good",2544
"than","than",2507
"after","after",2470
"know","know",2421
"other","other",2409
"first","first",2389
"because","because",2276
"back","back",2258
"i'm","i'm",2252
"day","day",2242
"over","over",2238
"two","two",2236
"him","him",2210
"see","see",2196
"make","make",2185
"its","its",2175
"only","only",2171
"then","then",2157
"last","last",2084
"much","much",2076
"year","year",2022
"think","think",2018
"could","could",1977
"love","love",1959
"going","going",1951
"way","way",1931
"even","even",1901
"really","really",1838
"well","well",1827
"too","too",1765
"did","did",1750
"work","work",1739
"years","years",1738
"most","most",1725
"very","very",1723
"don't","don't",1712
"where","where",1698
"still","still",1682
"these","these",1675
"off","off",1658
"want","want",1638
"many","many",1633
"right","right",1628
"before","before",1623
"here","here",1615
"great","great",1611
"little","little",1610
"those","those",1578
"any","any",1564
"through","through",1555
"being","being",1553
"got","got",1545
"down","down",1519
"life","life",1493
"say","say",1475
"take","take",1467
"made","made",1466
"while","while",1459
"need","need",1429
"today","today",1369
"may","may",1367
"home","home",1365
"things","things",1363
"should","should",1318
"never","never",1307
"something","something",1269
"come","come",1256
"around","around",1249
"state","state",1246
"another","another",1237
"school","school",1230
"week","week",1229
"e28093","e28093",1201
"three","three",1196
"next","next",1192
"best","best",1166
"always","always",1150
"e28094","e28094",1143
"every","every",1130
"night","night",1123
"long","long",1122
"such","such",1105
"city","city",1094
"world","world",1086
"few","few",1084
"why","why",1079
"since","since",1064
"better","better",1062
"look","look",1062
"ite28099s","ite28099s",1057
"game","game",1044
"big","big",1029
"that's","that's",1027
"same","same",1004
"each","each",994
"says","says",986
"feel","feel",980
"lot","lot",980
"own","own",980
"place","place",965
"again","again",960
"help","help",952
"thanks","thanks",951
"days","days",949
"both","both",947
"use","use",944
"thing","thing",942
"put","put",934
"find","find",923
"used","used",912
"sure","sure",909
"team","team",904
"end","end",902
"part","part",901
"house","house",899
"man","man",894
"show","show",892
"until","until",890
"family","family",874
"does","does",864
"during","during",858
"keep","keep",847
"getting","getting",839
"high","high",832
"might","might",829
"ever","ever",823
"found","found",816
"away","away",812
"can't","can't",809
"left","left",802
"though","though",801
"book","book",800
"happy","happy",800
"against","against",788
"give","give",788
"play","play",788
"between","between",785
"old","old",777
"didn't","didn't",767
"hope","hope",767
"looking","looking",761
"doing","doing",759
"thought","thought",750
"money","money",747
"percent","percent",747
"million","million",745
"start","start",745
"let","let",737
"told","told",737
"enough","enough",736
"i've","i've",728
"came","came",724
"went","went",721
"set","set",716
"season","season",715
"times","times",712
"without","without",712
"took","took",709
"once","once",693
"police","police",691
"ie28099m","ie28099m",683
"public","public",677
"top","top",676
"done","done",674
"second","second",672
"under","under",671
"least","least",669
"called","called",668
"already","already",667
"different","different",667
"having","having",667
"hard","hard",663
"making","making",660
"done28099t","done28099t",659
"point","point",658
"county","county",657
"story","story",657
"you're","you're",651
"read","read",650
"tell","tell",648
"food","food",638
"friends","friends",638
"god","god",636
"everyone","everyone",635
"lol","lol",635
"four","four",633
"yet","yet",632
"past","past",631
"pretty","pretty",628
"together","together",628
"morning","morning",627
"run","run",627
"actually","actually",623
"must","must",618
"children","children",613
"including","including",611
