"","word","freq"
"the end of the","the end of the",165
"at the end of","at the end of",148
"the rest of the","the rest of the",124
"one of the most","one of the most",91
"at the same time","at the same time",88
"for the first time","for the first time",87
"is going to be","is going to be",79
"is one of the","is one of the",79
"when it comes to","when it comes to",78
"to be able to","to be able to",68
"in the middle of","in the middle of",63
"one of the best","one of the best",57
"i would like to","i would like to",53
"going to be a","going to be a",51
"thanks for the follow","thanks for the follow",48
"the middle of the","the middle of the",48
"the top of the","the top of the",48
"was one of the","was one of the",47
"a lot of people","a lot of people",45
"a member of the","a member of the",45
"the bottom of the","the bottom of the",45
"in the united states","in the united states",44
"if you want to","if you want to",43
"thanks for the rt","thanks for the rt",41
"a bit of a","a bit of a",40
"as well as the","as well as the",40
"i am going to","i am going to",40
"by the end of","by the end of",39
"one of my favorite","one of my favorite",39
"thank you for the","thank you for the",38
"i was going to","i was going to",37
"for the rest of","for the rest of",36
"i don't want to","i don't want to",35
"for a long time","for a long time",34
"the fact that the","the fact that the",34
"a little bit of","a little bit of",33
"as part of the","as part of the",33
"at the university of","at the university of",33
"on the other hand","on the other hand",32
"what do you think","what do you think",32
"will be able to","will be able to",32
"at the top of","at the top of",31
"i can't wait to","i can't wait to",31
"i was able to","i was able to",31
"as a result of","as a result of",30
"as much as i","as much as i",30
"can't wait to see","can't wait to see",30
"have a lot of","have a lot of",30
"in front of the","in front of the",30
"said in a statement","said in a statement",30
"thank you so much","thank you so much",30
"to do with the","to do with the",30
"in the case of","in the case of",28
"the back of the","the back of the",28
"was going to be","was going to be",28
"as well as a","as well as a",27
"i want to be","i want to be",27
"a few years ago","a few years ago",26
"and one of the","and one of the",26
"i didn't want to","i didn't want to",26
"i have no idea","i have no idea",26
"on the other side","on the other side",26
"the first time i","the first time i",26
"the first time in","the first time in",26
"this is one of","this is one of",26
"to get out of","to get out of",26
"to go to the","to go to the",26
"with a lot of","with a lot of",26
"as one of the","as one of the",25
"be a part of","be a part of",25
"going to have to","going to have to",25
"i have to say","i have to say",25
"it's going to be","it's going to be",25
"nothing to do with","nothing to do with",25
"one of the first","one of the first",25
"the new york times","the new york times",25
"in the form of","in the form of",24
"most of the time","most of the time",24
"on my way to","on my way to",24
"the beginning of the","the beginning of the",24
"the start of the","the start of the",24
"are going to be","are going to be",23
"as soon as i","as soon as i",23
"for the most part","for the most part",23
"i look forward to","i look forward to",23
"in the first place","in the first place",23
"in the second half","in the second half",23
"should be able to","should be able to",23
"a lot of the","a lot of the",22
"at the beginning of","at the beginning of",22
"from time to time","from time to time",22
"i would love to","i would love to",22
"in the first quarter","in the first quarter",22
"let me know if","let me know if",22
"the best way to","the best way to",22
"to go back to","to go back to",22
"a couple of years","a couple of years",21
"a great deal of","a great deal of",21
"and the rest of","and the rest of",21
"at the time of","at the time of",21
"end of the day","end of the day",21
"for a couple of","for a couple of",21
"i feel like i","i feel like i",21
"in the fourth quarter","in the fourth quarter",21
"know what to do","know what to do",21
"those of you who","those of you who",21
"to be part of","to be part of",21
"turned out to be","turned out to be",21
"we were able to","we were able to",21
"would be able to","would be able to",21
"a lot of time","a lot of time",20
"are a lot of","are a lot of",20
"executive director of the","executive director of the",20
"for a few days","for a few days",20
"had a great time","had a great time",20
"i don't know if","i don't know if",20
"i thought it was","i thought it was",20
"i wish i could","i wish i could",20
"if you have a","if you have a",20
"if you have any","if you have any",20
"in a way that","in a way that",20
"in an attempt to","in an attempt to",20
"in the first half","in the first half",20
"not going to be","not going to be",20
"the side of the","the side of the",20
"the time of the","the time of the",20
"there are a lot","there are a lot",20
"this is not a","this is not a",20
"to be a part","to be a part",20
"to be in the","to be in the",20
"to get rid of","to get rid of",20
"to take care of","to take care of",20
"to the fact that","to the fact that",20
"what to do with","what to do with",20
"you are going to","you are going to",20
"a lot of things","a lot of things",19
"as part of a","as part of a",19
"i don't know how","i don't know how",19
"in the face of","in the face of",19
"in the first round","in the first round",19
"it was a good","it was a good",19
"not being able to","not being able to",19
"this is going to","this is going to",19
"for those of you","for those of you",18
"have been able to","have been able to",18
"in the back of","in the back of",18
"is a lot of","is a lot of",18
"it will be a","it will be a",18
"it would be a","it would be a",18
"of the united states","of the united states",18
"on top of the","on top of the",18
"the center of the","the center of the",18
"the heart of the","the heart of the",18
"the rest of my","the rest of my",18
"a couple of days","a couple of days",17
"a couple of weeks","a couple of weeks",17
"a spokesman for the","a spokesman for the",17
"and the fact that","and the fact that",17
"as far as i","as far as i",17
"at a time when","at a time when",17
"contributed to this report","contributed to this report",17
"find a way to","find a way to",17
"from the university of","from the university of",17
"i think this is","i think this is",17
"i thought i would","i thought i would",17
"i was trying to","i was trying to",17
"in the wake of","in the wake of",17
"it is important to","it is important to",17
"the last few years","the last few years",17
"there are so many","there are so many",17
"to come up with","to come up with",17
"to get to the","to get to the",17
"to say that i","to say that i",17
"you would like to","you would like to",17
"a few weeks ago","a few weeks ago",16
"a wide range of","a wide range of",16
"all over the place","all over the place",16
"at the bottom of","at the bottom of",16
"figure out how to","figure out how to",16
"have a great day","have a great day",16
"here are a few","here are a few",16
"i don't have to","i don't have to",16
"i don't know what","i don't know what",16
"i need to get","i need to get",16
"i want to do","i want to do",16
"in the midst of","in the midst of",16
"in the third quarter","in the third quarter",16
"in the way of","in the way of",16
"is one of my","is one of my",16
"is one of those","is one of those",16
"out of the way","out of the way",16
"so i decided to","so i decided to",16
"the history of the","the history of the",16
"the other side of","the other side of",16
"to get back to","to get back to",16
"would like to see","would like to see",16
"you don't want to","you don't want to",16
"as much as possible","as much as possible",15
"at the expense of","at the expense of",15
"but it is a","but it is a",15
"do you have a","do you have a",15
"end of the year","end of the year",15
"for as long as","for as long as",15
"for the sake of","for the sake of",15
"has nothing to do","has nothing to do",15
"i just want to","i just want to",15
"i'm going to be","i'm going to be",15
"if you don't have","if you don't have",15
"in addition to the","in addition to the",15
"in front of me","in front of me",15
"in the history of","in the history of",15
"in the name of","in the name of",15
"it would have been","it would have been",15
"on the side of","on the side of",15
"other side of the","other side of the",15
"out of the car","out of the car",15
"player of the year","player of the year",15
"take a look at","take a look at",15
"thank you for your","thank you for your",15
"the fact that i","the fact that i",15
"the us department of","the us department of",15
"to be on the","to be on the",15
"to be one of","to be one of",15
"trying to figure out","trying to figure out",15
"was the first time","was the first time",15
"with the help of","with the help of",15
"a great way to","a great way to",14
"a little bit more","a little bit more",14
"and all of the","and all of the",14
"are you going to","are you going to",14
"both sides of the","both sides of the",14
"do the right thing","do the right thing",14
"for most of the","for most of the",14
"have the opportunity to","have the opportunity to",14
"hope to see you","hope to see you",14
"i have a lot","i have a lot",14
"i think i have","i think i have",14
"i was in the","i was in the",14
"i'm looking forward to","i'm looking forward to",14
"in the right direction","in the right direction",14
"is part of the","is part of the",14
"is supposed to be","is supposed to be",14
"it was a great","it was a great",14
"on the edge of","on the edge of",14
"once in a while","once in a while",14
"one of the biggest","one of the biggest",14
"out to be a","out to be a",14
"thanks for the mention","thanks for the mention",14
"that it would be","that it would be",14
"that would be the","that would be the",14
"the first day of","the first day of",14
"the size of the","the size of the",14
"the united states and","the united states and",14
"there has been a","there has been a",14
"there will be a","there will be a",14
"this is a great","this is a great",14
"this time of year","this time of year",14
"time of the year","time of the year",14
"to learn how to","to learn how to",14
"to look at the","to look at the",14
"to share with you","to share with you",14
"to the bottom of","to the bottom of",14
"to the point where","to the point where",14
"you want to be","you want to be",14
"all of a sudden","all of a sudden",13
"as a way to","as a way to",13
"as you can see","as you can see",13
"at the back of","at the back of",13
"at the start of","at the start of",13
"be part of the","be part of the",13
"by the fact that","by the fact that",13
"get out of the","get out of the",13
"had a chance to","had a chance to",13
"had a lot of","had a lot of",13
"has a lot of","has a lot of",13
"he was going to","he was going to",13
"i done28099t want to","i done28099t want to",13
"i had no idea","i had no idea",13
"i have to admit","i have to admit",13
"i think it is","i think it is",13
"i wish i had","i wish i had",13
"if you are a","if you are a",13
"in an effort to","in an effort to",13
"in and out of","in and out of",13
"in front of a","in front of a",13
"in new york city","in new york city",13
"in the living room","in the living room",13
"in the morning and","in the morning and",13
"it was time to","it was time to",13
"looking forward to seeing","looking forward to seeing",13
"me know if you","me know if you",13
"more than a year","more than a year",13
"on the way to","on the way to",13
"one of the things","one of the things",13
"said in an interview","said in an interview",13
"some of the most","some of the most",13
"thanks for stopping by","thanks for stopping by",13
"the first time since","the first time since",13
"the last time i","the last time i",13
"the middle of a","the middle of a",13
"the name of the","the name of the",13
"the only thing that","the only thing that",13
